stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
DUMNACUS,23298,"DUMNACUS",,47.486323,-0.592092,,,0,zone_DUMNACUS,,0
DUNAN,19081,"DUNANT",,47.483507,-0.525547,,,0,zone_DUNANT,,1
DUNAN-E,14642,"DUNANT",,47.483405,-0.525612,,,0,zone_DUNANT,,1
DUREL1-E,749082,"DURELLERIES 1",,47.428932,-0.641213,,,0,zone_DURELLERIES_1,,0
DUREL2-E,631634,"DURELLERIES 2",,47.431103,-0.641780,,,0,zone_DURELLERIES_2,,0
DURELLE1,530721,"DURELLERIES 1",,47.428932,-0.641213,,,0,zone_DURELLERIES_1,,0
DURELLE2,489663,"DURELLERIES 2",,47.431103,-0.641780,,,0,zone_DURELLERIES_2,,0
DURVIL-E,22678,"DUMONT D'URVILLE",,47.445061,-0.557218,,,0,zone_DUMONT_D'URVILLE,,1
DURVILLE,28495,"DUMONT D'URVILLE",,47.445181,-0.557190,,,0,zone_DUMONT_D'URVILLE,,1
EBEAUP-E,9811,"EBEAUPIN",,47.464419,-0.624819,,,0,zone_EBEAUPIN,,0
EBEAUPIN,22853,"EBEAUPIN",,47.464363,-0.624752,,,0,zone_EBEAUPIN,,0
EBLE,18451,"EBLE",,47.455299,-0.566311,,,0,zone_EBLE,,1
EBLE  -E,18302,"EBLE",,47.455380,-0.566292,,,0,zone_EBLE,,1
ECHATS,24869,"ECHATS",,47.480699,-0.632024,,,0,zone_ECHATS,,1
ECHATS-E,30592,"ECHATS",,47.481021,-0.631914,,,0,zone_ECHATS,,1
ECHMA-E,30440,"ECHMAN",,47.490220,-0.575652,,,0,zone_ECHMAN,,1
ECHMAN,20511,"ECHMAN",,47.490221,-0.575748,,,0,zone_ECHMAN,,1
ECLATE-E,15952,"ECLATERIES",,47.451149,-0.519916,,,0,zone_ECLATERIES,,1
ECLATERI,28347,"ECLATERIES",,47.451154,-0.519768,,,0,zone_ECLATERIES,,1
ECOANDAR,621938,"ECOLE ANDARD",,47.457396,-0.398637,,,0,zone_ECOLE_ANDARD,,0
ECOTIE-E,24531,"ECOTIERE",,47.364456,-0.504988,,,0,zone_ECOTIERE,,0
ECOTIERE,28731,"ECOTIERE",,47.363934,-0.504602,,,0,zone_ECOTIERE,,0
