shape_id,shape_pt_lon,shape_pt_lat,shape_pt_sequence
MAN250018,0.218615947,47.9971814865,39
MAN250018,0.218615947,47.9971814865,40
MAN250018,0.2134088617,47.9990122728,41
MAN250018,0.2134088617,47.9990122728,42
MAN250018,0.2113751245,48.0005856357,43
MAN250018,0.2113751245,48.0005856357,44
MAN250018,0.2089655228,48.0018372749,45
MAN250018,0.2089655228,48.0018372749,46
MAN250018,0.2054596702,48.0026820864,47
MAN250018,0.2054596702,48.0026820864,48
MAN250018,0.2006169755,48.0040961406,49
MAN250018,0.2006169755,48.0040961406,50
MAN250018,0.1978510822,48.0028851578,51
MAN250017,0.3358647203,48.0193944321,0
MAN250017,0.335445989,48.0155911849,1
MAN250017,0.335445989,48.0155911849,2
MAN250017,0.3323231866,48.0159155797,3
MAN250017,0.3323231866,48.0159155797,4
MAN250017,0.3363703363,48.024089702,5
MAN250017,0.3363703363,48.024089702,6
MAN250017,0.3294231037,48.0241561361,7
MAN250017,0.3294231037,48.0241561361,8
MAN250017,0.3243875814,48.027113784,9
MAN250017,0.3243875814,48.027113784,10
MAN250017,0.3248978118,48.0260430943,11
MAN250017,0.3248978118,48.0260430943,12
MAN250017,0.3299502863,48.0240806137,13
MAN250017,0.3299502863,48.0240806137,14
MAN250017,0.3324029324,48.0233382126,15
MAN250017,0.3324029324,48.0233382126,16
MAN250017,0.3309748998,48.0210469049,17
MAN250017,0.3309748998,48.0210469049,18
MAN250017,0.3272612031,48.0185724457,19
MAN250017,0.3272612031,48.0185724457,20
MAN250017,0.3223340831,48.0173363633,21
MAN250017,0.3223340831,48.0173363633,22
MAN250017,0.3175774963,48.0134043465,23
MAN250017,0.3175774963,48.0134043465,24
MAN250017,0.2855118141,48.0115965781,25
MAN250017,0.2855118141,48.0115965781,26
MAN250017,0.2706325361,48.0136018662,27
MAN250017,0.2706325361,48.0136018662,28
MAN250017,0.2662762736,48.0118697039,29
MAN250017,0.2662762736,48.0118697039,30
MAN250017,0.2635399686,48.0095183777,31
MAN250017,0.2635399686,48.0095183777,32
MAN250017,0.2401265404,47.999907692,33
MAN250017,0.2401265404,47.999907692,34
MAN250017,0.2366934297,47.9992794102,35
MAN250017,0.2366934297,47.9992794102,36
MAN250017,0.230379462,47.9979605118,37
MAN250017,0.230379462,47.9979605118,38
MAN250017,0.2270700974,47.9975950508,39
MAN250017,0.2270700974,47.9975950508,40
MAN250017,0.2223642693,47.9972942367,41
MAN250017,0.2223642693,47.9972942367,42
MAN250017,0.218615947,47.9971814865,43
MAN250017,0.218615947,47.9971814865,44
MAN250017,0.2134088617,47.9990122728,45
MAN250017,0.2134088617,47.9990122728,46
MAN250017,0.2113751245,48.0005856357,47
MAN250017,0.2113751245,48.0005856357,48
MAN250017,0.2089655228,48.0018372749,49
MAN250017,0.2089655228,48.0018372749,50
MAN250017,0.2054596702,48.0026820864,51
MAN250017,0.2054596702,48.0026820864,52
MAN250017,0.2006169755,48.0040961406,53
MAN250017,0.2006169755,48.0040961406,54
MAN250017,0.1978510822,48.0028851578,55
MAN220012,0.2406295366,48.0340187388,0
MAN220012,0.2399763834,48.0353662955,1
MAN220012,0.2399763834,48.0353662955,2
MAN220012,0.2383421058,48.0380087445,3
MAN220012,0.2383421058,48.0380087445,4
MAN220012,0.2400043163,48.0390460223,5
MAN220012,0.2400043163,48.0390460223,6
MAN220012,0.2415906734,48.0392264321,7
MAN220012,0.2415906734,48.0392264321,8
MAN220012,0.2468321212,48.0389368455,9
MAN220012,0.2468321212,48.0389368455,10
MAN220012,0.2449413941,48.0357465252,11
MAN220012,0.2449413941,48.0357465252,12
MAN220012,0.2426430252,48.0330661289,13
MAN220012,0.2426430252,48.0330661289,14
MAN220012,0.2434185227,48.0311009414,15
MAN220012,0.2434185227,48.0311009414,16
MAN220012,0.2417756157,48.0278960857,17
MAN220012,0.2417756157,48.0278960857,18
MAN220012,0.2369063733,48.0255689492,19
MAN220012,0.2369063733,48.0255689492,20
MAN220012,0.2329268693,48.023806328,21
MAN220012,0.2329268693,48.023806328,22
MAN220012,0.2259961557,48.020739994,23
MAN220012,0.2259961557,48.020739994,24
MAN220012,0.2229024848,48.019307832,25
MAN220012,0.2229024848,48.019307832,26
MAN220012,0.2178828449,48.0177597867,27
MAN220013,0.2178828449,48.0177597867,0
MAN220013,0.2240657363,48.0197246404,1
MAN220013,0.2240657363,48.0197246404,2
MAN220013,0.2259747573,48.0206046714,3
MAN220013,0.2259747573,48.0206046714,4
MAN220013,0.2323371454,48.0234628893,5
MAN220013,0.2323371454,48.0234628893,6
MAN220013,0.2388331575,48.0263501257,7
MAN220013,0.2388331575,48.0263501257,8
MAN220013,0.2423763511,48.0283026408,9
MAN220013,0.2423763511,48.0283026408,10
MAN220013,0.2435191215,48.0309318213,11
MAN220013,0.2435191215,48.0309318213,12
MAN220013,0.2424721911,48.0333149534,13
MAN220013,0.2424721911,48.0333149534,14
MAN220013,0.245682285,48.0362068376,15
MAN220013,0.245682285,48.0362068376,16
MAN220013,0.2469854976,48.0389251887,17
