stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding
StopPoint:MANWEI2,"Lazare Weiller","",47.96743,0.2032,,,0,StopArea:MANPLA_LAZAR,1
StopPoint:MANCHT2,"Château d'Eau","",47.969536,0.204173,,,0,StopArea:MANPLA_CHEAU,1
StopPoint:MANMRC2,"Maroc","",47.971161,0.204938,,,0,StopArea:MANPLA_MAROC,1
StopPoint:MANRON2,"Ronceray","",47.973972,0.206298,,,0,StopArea:MANPLA_RONCE,1
StopPoint:MANCIJ2,"Cité Joly","",47.975887,0.207199,,,0,StopArea:MANPLA_CITEJ,1
StopPoint:MANJMO2,"Jean Moulin","",47.978077,0.208276,,,0,StopArea:MANPLA_JMOUL,1
StopPoint:MANSAP2,"Sapins","",47.980198,0.209236,,,0,StopArea:MANPLA_SAPIN,1
StopPoint:MANPTL2,"Pontlieue - Geneslay","",47.982666,0.210409,,,0,StopArea:MANPLA_PONTL,1
StopPoint:MANSTM2,"St-Martin","",47.985924,0.20942,,,0,StopArea:MANPLA_STMAR,1
StopPoint:MANHOR1,"Les Horizons","",48.057247,0.166525,,,0,StopArea:MANPLA_LESHO,1
StopPoint:MANGRU1,"Grues Rouges","",48.054882,0.167549,,,0,StopArea:MANPLA_GRUES,1
StopPoint:MANCGR1,"Cinémas CGR","",48.048214,0.172814,,,0,StopArea:MANPLA_CINEM,1
StopPoint:MANBDO1,"Bourdonnière","",48.046547,0.173647,,,0,StopArea:MANPLA_BOURD,1
StopPoint:MANLEA2,"Léard","",48.02615,0.181156,,,0,StopArea:MANPLA_LEARD,1
StopPoint:MANLPL1,"Les Palis","",48.022999,0.18266,,,0,StopArea:MANPLA_LESPA,1
StopPoint:MANMSA1,"Montsaulnière","",48.020992,0.183586,,,0,StopArea:MANPLA_MONTS,1
StopPoint:MANSLI1,"St-Liboire","",48.017826,0.18511,,,0,StopArea:MANPLA_STLIB,0
StopPoint:MANROY1,"Chasse Royale","",48.015167,0.186278,,,0,StopArea:MANPLA_CHASS,1
StopPoint:MANEPE1,"Éperon","",48.00539,0.195135,,,0,StopArea:MANPLA_EPERO,1
StopPoint:MANMLM1,"Mairie Le Mans","",48.006817,0.197289,,,0,StopArea:MANPLA_MAILE,1
StopPoint:MANCAL1,"La Calandre","",48.010288,0.193944,,,0,StopArea:MANPLA_LACAL,1
StopPoint:MANSLI2,"St-Liboire","",48.017796,0.185313,,,0,StopArea:MANPLA_STLIB,0
StopPoint:MANMSA2,"Montsaulnière","",48.02087,0.183833,,,0,StopArea:MANPLA_MONTS,1
StopPoint:MANLPL2,"Les Palis","",48.023228,0.182731,,,0,StopArea:MANPLA_LESPA,1
StopPoint:MANLEA1,"Léard","",48.026012,0.181413,,,0,StopArea:MANPLA_LEARD,1
StopPoint:MANBDO2,"Bourdonnière","",48.046314,0.173227,,,0,StopArea:MANPLA_BOURD,1
StopPoint:MANCGR2,"Cinémas CGR","",48.048363,0.17266,,,0,StopArea:MANPLA_CINEM,1
StopPoint:MANGRU2,"Grues Rouges","",48.055054,0.167662,,,0,StopArea:MANPLA_GRUES,1
StopPoint:MANHOR2,"Les Horizons","",48.057594,0.166377,,,0,StopArea:MANPLA_LESHO,1
StopPoint:MANGAL1,"Gallière","",48.02702,0.182455,,,0,StopArea:MANPLA_GALLI,0
StopPoint:MANFLR1,"Florey","",48.025169,0.182732,,,0,StopArea:MANPLA_FLREY,0
StopPoint:MANRCT1,"Richet","",48.024639,0.184671,,,0,StopArea:MANPLA_RICHE,0
StopPoint:MANMEV1,"Moulin l'Évêque","",48.024208,0.187263,,,0,StopArea:MANPLA_MOULI,0
StopPoint:MANLAU1,"Lausanne","",48.022476,0.187495,,,0,StopArea:MANPLA_LAUSA,0
StopPoint:MANBNE1,"Berne","",48.021412,0.185728,,,0,StopArea:MANPLA_BERNE,1
StopPoint:MANRCH1,"Richepin","",48.01907,0.18699,,,0,StopArea:MANPLA_RCHPI,1
StopPoint:MANMTG1,"Montagne","",48.016891,0.188514,,,0,StopArea:MANPLA_MOTAG,1
StopPoint:MANBSS2,"Boussinière","",48.013645,0.189504,,,0,StopArea:MANPLA_BOUSS,0
StopPoint:MANMLM2,"Mairie Le Mans","",48.006786,0.197143,,,0,StopArea:MANPLA_MAILE,1
StopPoint:MANBSS1,"Boussinière","",48.01366,0.190295,,,0,StopArea:MANPLA_BOUSS,1
StopPoint:MANCIO2,"Cimetière Ouest","",48.017441,0.192433,,,0,StopArea:MANPLA_CIMOU,1
StopPoint:MANETA1,"Étamines","",48.017559,0.188594,,,0,StopArea:MANPLA_ETAMI,0
StopPoint:MANRCH2,"Richepin","",48.019035,0.187086,,,0,StopArea:MANPLA_RCHPI,1
StopPoint:MANBAL1,"Bâle","",48.021297,0.187355,,,0,StopArea:MANPLA_RBALE,0
StopPoint:MANLAU2,"Lausanne","",48.023079,0.187457,,,0,StopArea:MANPLA_LAUSA,0
StopPoint:MANMEV2,"Moulin l'Évêque","",48.024246,0.187356,,,0,StopArea:MANPLA_MOULI,0
StopPoint:MANRCT2,"Richet","",48.024658,0.184697,,,0,StopArea:MANPLA_RICHE,0
StopPoint:MANFLR2,"Florey","",48.025234,0.182743,,,0,StopArea:MANPLA_FLREY,0
StopPoint:MANLAF1,"Lafayette","",48.006824,0.189862,,,0,StopArea:MANPLA_LAFAY,1
StopPoint:MANLIB1,"Libération","",48.00462,0.187352,,,0,StopArea:MANPLA_LIBER,1
StopPoint:MANRIC1,"Richedoué","",48.003666,0.186358,,,0,StopArea:MANPLA_RCHED,1
StopPoint:MANFRA1,"Anatole France","",48.00106,0.184226,,,0,StopArea:MANPLA_ANATO,0
StopPoint:MANEDF1,"EDF - GDF","",48.001083,0.187335,,,0,StopArea:MANPLA_EDFGD,0
